 0.000000e+00  5.000000e-02 -1.996189e-06
 5.000000e-02  1.000000e-01  2.066637e-06
 1.000000e-01  1.500000e-01  5.951746e-06
 1.500000e-01  2.000000e-01  1.571811e-05
 2.000000e-01  2.500000e-01  2.021004e-05
 2.500000e-01  3.000000e-01  3.005931e-05
 3.000000e-01  3.500000e-01  3.486130e-05
 3.500000e-01  4.000000e-01  4.077444e-05
 4.000000e-01  4.500000e-01  5.088038e-05
 4.500000e-01  5.000000e-01  5.717641e-05
 5.000000e-01  5.500000e-01  6.027537e-05
 5.500000e-01  6.000000e-01  5.955587e-05
 6.000000e-01  6.500000e-01  6.750029e-05
 6.500000e-01  7.000000e-01  7.181828e-05
 7.000000e-01  7.500000e-01  6.957008e-05
 7.500000e-01  8.000000e-01  7.853460e-05
 8.000000e-01  8.500000e-01  7.290606e-05
 8.500000e-01  9.000000e-01  7.682662e-05
 9.000000e-01  9.500000e-01  8.087538e-05
 9.500000e-01  1.000000e+00  7.468387e-05
 1.000000e+00  1.050000e+00  7.921877e-05
 1.050000e+00  1.100000e+00  7.629403e-05
 1.100000e+00  1.150000e+00  7.334572e-05
 1.150000e+00  1.200000e+00  6.906728e-05
 1.200000e+00  1.250000e+00  6.669292e-05
 1.250000e+00  1.300000e+00  6.354518e-05
 1.300000e+00  1.350000e+00  6.315800e-05
 1.350000e+00  1.400000e+00  5.719556e-05
 1.400000e+00  1.450000e+00  5.148830e-05
 1.450000e+00  1.500000e+00  5.586442e-05
 1.500000e+00  1.550000e+00  5.200784e-05
 1.550000e+00  1.600000e+00  4.491107e-05
 1.600000e+00  1.650000e+00  3.938634e-05
 1.650000e+00  1.700000e+00  3.716653e-05
 1.700000e+00  1.750000e+00  3.739426e-05
 1.750000e+00  1.800000e+00  3.054899e-05
 1.800000e+00  1.850000e+00  3.217013e-05
 1.850000e+00  1.900000e+00  2.636759e-05
 1.900000e+00  1.950000e+00  2.255825e-05
 1.950000e+00  2.000000e+00  2.401399e-05
 2.000000e+00  2.050000e+00  1.983338e-05
 2.050000e+00  2.100000e+00  1.924219e-05
 2.100000e+00  2.150000e+00  1.695563e-05
 2.150000e+00  2.200000e+00  1.687409e-05
 2.200000e+00  2.250000e+00  1.280039e-05
 2.250000e+00  2.300000e+00  1.156539e-05
 2.300000e+00  2.350000e+00  9.261487e-06
 2.350000e+00  2.400000e+00  9.315468e-06
 2.400000e+00  2.450000e+00  7.340546e-06
 2.450000e+00  2.500000e+00  6.867864e-06
 2.500000e+00  2.550000e+00  7.202561e-06
 2.550000e+00  2.600000e+00  5.180515e-06
 2.600000e+00  2.650000e+00  4.538044e-06
 2.650000e+00  2.700000e+00  4.590602e-06
 2.700000e+00  2.750000e+00  3.075267e-06
 2.750000e+00  2.800000e+00  3.480716e-06
 2.800000e+00  2.850000e+00  2.066372e-06
 2.850000e+00  2.900000e+00  2.083448e-06
 2.900000e+00  2.950000e+00  1.972444e-06
 2.950000e+00  3.000000e+00  1.668965e-06
 3.000000e+00  3.050000e+00  1.340504e-06
 3.050000e+00  3.100000e+00  1.107320e-06
 3.100000e+00  3.150000e+00  8.118658e-07
 3.150000e+00  3.200000e+00  6.029102e-07
 3.200000e+00  3.250000e+00  4.842661e-07
 3.250000e+00  3.300000e+00  4.104833e-07
 3.300000e+00  3.350000e+00  3.254322e-07
 3.350000e+00  3.400000e+00  3.671064e-07
 3.400000e+00  3.450000e+00  2.195991e-07
 3.450000e+00  3.500000e+00  1.983916e-07
 3.500000e+00  3.550000e+00  1.253597e-07
 3.550000e+00  3.600000e+00  1.315266e-07
 3.600000e+00  3.650000e+00  6.434377e-08
 3.650000e+00  3.700000e+00  8.017778e-08
 3.700000e+00  3.750000e+00  4.350614e-08
 3.750000e+00  3.800000e+00  3.609010e-08
 3.800000e+00  3.850000e+00  1.696163e-08
 3.850000e+00  3.900000e+00  1.696719e-08
 3.900000e+00  3.950000e+00  6.547042e-09
 3.950000e+00  4.000000e+00  4.260809e-09
 4.000000e+00  4.050000e+00  4.949066e-09
 4.050000e+00  4.100000e+00  2.074254e-09
 4.100000e+00  4.150000e+00  1.327546e-09
 4.150000e+00  4.200000e+00  6.177714e-10
 4.200000e+00  4.250000e+00  1.799986e-10
 4.250000e+00  4.300000e+00  7.478191e-11
 4.300000e+00  4.350000e+00  3.355056e-11
 4.350000e+00  4.400000e+00  6.866668e-11
 4.400000e+00  4.450000e+00  3.676915e-11
 4.450000e+00  4.500000e+00  9.116942e-12
 4.500000e+00  4.550000e+00  0.000000e+00
 4.550000e+00  4.600000e+00  0.000000e+00
 4.600000e+00  4.650000e+00  0.000000e+00
 4.650000e+00  4.700000e+00  0.000000e+00
 4.700000e+00  4.750000e+00  0.000000e+00
 4.750000e+00  4.800000e+00  0.000000e+00
 4.800000e+00  4.850000e+00  0.000000e+00
 4.850000e+00  4.900000e+00  0.000000e+00
 4.900000e+00  4.950000e+00  0.000000e+00
 4.950000e+00  5.000000e+00  0.000000e+00
